"","id","genero","percepseg","victima","confianzacom","confianzapol"
"757",5490,1,4,1,4,1
"758",818,2,4,2,3,1
"759",9339,2,2,2,2,5
"760",9219,2,4,2,3,7
"761",928,2,1,2,3,3
"762",428,2,2,2,4,5
"763",5118,1,4,2,2,4
"764",7902,1,1,2,3,4
"765",1052,2,4,1,3,2
"766",7279,1,4,2,2,1
"767",1384,2,4,2,3,4
"768",2343,2,4,2,4,5
"769",2739,2,3,1,2,2
"770",4477,1,1,2,2,4
"771",9842,1,3,2,3,2
"772",887,2,2,1,3,1
"773",4086,1,2,2,3,3
"774",9960,1,2,2,2,4
"775",2169,1,3,2,2,1
"776",5441,2,4,2,4,7
"777",2897,1,3,2,1,4
"778",5939,2,3,2,2,2
"779",3205,2,3,2,3,7
"780",9735,2,3,2,4,1
"781",7252,1,4,2,2,5
"782",719,2,4,2,3,1
"783",7081,2,2,1,2,7
"784",6285,1,3,2,3,2
"785",8925,1,2,1,2,5
"786",7268,2,1,2,3,4
"787",2421,1,1,2,2,1
"788",2633,1,2,2,3,5
"789",6795,1,4,1,2,4
"790",6424,1,4,2,3,5
"791",3917,1,4,2,3,4
"792",8552,2,4,1,2,2
"793",314,2,4,1,1,3
"794",848,2,3,1,3,5
"795",2632,2,2,2,3,5
"796",9480,1,4,1,4,1
"797",3693,2,4,2,4,1
"798",7730,1,4,1,3,2
"799",3050,2,2,2,3,3
"800",2067,1,2,2,4,4
"801",1752,1,3,2,2,5
"802",6253,1,4,1,1,2
"803",467,1,1,2,1,5
"804",2861,2,2,2,2,4
"805",1801,1,2,2,2,4
"806",7436,1,2,1,1,3
"807",3621,2,2,2,3,5
"808",5893,2,1,2,1,2
"809",1050,2,3,2,3,1
"810",8896,1,1,2,4,1
"811",6438,2,1,2,3,1
"812",1659,2,2,2,2,5
"813",2083,1,3,2,2,4
"814",6661,1,4,2,2,4
"815",1755,2,2,1,2,1
"816",114,2,2,2,3,6
"817",4261,1,4,2,3,4
"818",5595,2,4,2,3,1
"819",5003,1,2,1,1,3
"820",9114,2,3,1,3,1
"821",4903,2,2,2,2,2
"822",1122,2,3,2,2,4
"823",5464,1,2,2,2,3
"824",5031,1,2,2,3,3
"825",2351,1,4,2,3,2
"826",8667,1,4,1,2,2
"827",3646,2,3,2,2,4
"828",947,1,2,1,2,5
"829",6021,2,2,2,2,3
"830",6913,2,3,1,1,1
"831",7599,1,3,1,1,5
"832",8847,1,3,2,3,2
"833",1740,2,4,1,4,5
"834",3669,1,4,1,2,6
"835",5141,2,1,2,4,5
"836",6525,2,2,2,2,5
"837",8203,1,1,2,3,4
"838",7792,2,3,2,2,1
"839",8093,1,1,2,3,1
"840",2034,1,3,2,1,2
"841",5061,2,3,2,2,1
"842",855,1,4,2,4,1
"843",3090,1,3,1,3,5
"844",8026,1,3,2,2,1
"845",1622,1,1,2,1,7
"846",7691,1,4,1,2,4
"847",1934,1,2,2,2,1
"848",547,2,4,2,4,1
"849",4672,2,1,2,1,1
"850",9205,2,2,2,3,1
"851",5453,2,4,2,3,2
"852",3813,2,3,2,2,5
"853",153,1,2,2,2,3
"854",1887,1,3,1,3,1
"855",2675,2,1,2,2,7
"856",17,1,3,2,3,2
"857",3191,2,2,2,3,1
"858",5950,2,2,2,2,1
"859",4962,1,3,2,2,2
"860",7726,2,2,2,2,6
"861",6013,1,2,2,2,5
"862",7416,2,2,2,2,4
"863",2224,1,2,2,2,1
"864",3196,1,3,2,2,3
"865",6549,2,4,2,3,4
"866",6324,2,3,2,2,2
"867",9556,2,1,2,3,5
